Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
10 Sight Words,A hands-on challenge that builds vocabulary and description.,"This builds the language your child will use to reason, explain and eventually read. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Common sight words: the, and, is, it, in, on, a, I, to, he. Sight word reading is memory + print awareness.",Language & Communication,5–10 min,Cards with sight words,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Give Directions Someone,A play-based activity for strengthening following multi-step instructions.,Children this age learn language best through genuine conversation rather than through being quizzed. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,Tell me how to get to the kitchen from here.' Spatial language + perspective-taking + sequential instruction.,Language & Communication,5–10 min,None,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Debate Two Sides,A hands-on challenge that builds reasoning through language.,"This builds the language your child will use to reason, explain and eventually read. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Some people think dogs are better than cats. Some think cats are better. What's your view? Why?' Beginning of argument.,Language & Communication,5–10 min,None,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Addition Subtraction 10,A hands-on challenge that builds number sense and early maths.,"This builds the reasoning and problem-solving that school will draw on, in a form your child can actually enjoy. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Concrete then pictorial then symbolic. '4+3=?' on paper, with objects to count if needed.",Cognitive,5–10 min,Objects + pencil and paper,3y6m–3y9m,Piagetian developmental framework; Harvard Center on the Developing Child; IAP
Even Odd Numbers,A play-based activity for strengthening number sense and early maths.,"Children this age learn concepts by handling them physically before they can handle them abstractly. Let your child take the lead and follow their ideas, even when they are stranger than yours.","2, 4, 6 are even -- can be split into two equal groups. 1, 3, 5 cannot. Concrete splitting before the rule.",Cognitive,5–8 min,Small objects,3y6m–3y9m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Months Year,A hands-on challenge that builds pattern and sequence recognition.,"This builds the reasoning and problem-solving that school will draw on, in a form your child can actually enjoy. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Recite months in order. Link each to a family event: 'My birthday is in July.' Sequence then meaning.,Cognitive,5–8 min,None,3y6m–3y9m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Coins,A play-based activity for strengthening classification and categorisation.,"This builds the reasoning and problem-solving that school will draw on, in a form your child can actually enjoy. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Identify coins by appearance and name their values. Sorting coins by value -- not yet purchasing, just denominations.",Cognitive,5–10 min,Real coins,3y6m–3y9m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Living Things Need...,A hands-on challenge that builds problem-solving and planning.,"This builds the reasoning and problem-solving that school will draw on, in a form your child can actually enjoy. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",What do plants need? What do animals need?' Beginning biology -- organisms have requirements for survival.,Cognitive,5–10 min,Plant to observe,3y6m–3y9m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Simple Map Reading,A hands-on challenge that builds spatial reasoning and problem-solving.,Thinking skills at this stage develop through exploration and questions rather than through being taught answers. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,A map of the house or garden. Find a 'treasure' hidden using map coordinates. Spatial representation reading.,Cognitive,10–15 min,Drawn map + hidden object,3y6m–3y9m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Manage Waiting,"A play-based activity for strengthening sharing, fairness and turn-taking.","Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",Wait 5 minutes for something desirable with a visible timer. Narrate the wait: 'We're waiting. That is hard. We can do it.',Social-Emotional,5–10 min,Timer,3y6m–3y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
What You Need,A hands-on challenge that builds social skills and emotional understanding.,"This builds emotional understanding and social confidence at the age when both start to matter outside home. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Practice saying 'I need...' or 'Can I have...' instead of grabbing, whining, or melting down. Verbal request habit.",Social-Emotional,Ongoing,None,3y6m–3y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Others' Feelings First,An activity that develops emotional regulation and vocabulary.,"Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Before I say what I want, let me notice how you are feeling.' Other-first awareness is sophisticated SE development.",Social-Emotional,Ongoing,None,3y6m–3y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
